eventCode,shortName,month,startDate,finishDate,description,src,ucX,week,startTime,finishTime
scr20200701001,WorldRefDay,june,20/06/2020,20/06/2020,World Refugee Day,,,,,
scr20200701002,Oweek,july,27/07/2020,31/07/2020,O week for semester two,,,,,
scr20200701003,ReasonStatement,august,,,Statement of reasons due (late Aug),,,,,
scr20200701004,SSAFsurvey,august,,,SSAF Survey,,,,,
scr20200701005,TownHall2,august,,,Town HAll,,,,,
scr20200701006,openDay,august,,,Open Day 22nd,,,,,
scr20200701007,nic21st,august,,,Nicks 21st Birthday,,,,,
scr20200701008,SSAFbids,september,,,SSAF Bids Due,,,,,
scr20200701009,Grad,september,,,Graduation,,,,,
scr20200701010,SSAFFunds,september,,,SSAF Committeess,,,,,
scr20200701011,RUOKDay,september,,,RUOKDay,,,,,
scr20200701012,NAIDOC,october,,,NAIDOC,,,,,
scr20200701013,mentalHealth,october,,,Mental Health Day/Month,,,,,
scr20200701014,s2Exams,november,,,Exams,,,,,
scr20200701015,s2Results,november,,,Results,,,,,
scr20200701016,councilReport2020,december,,,Council Report,,,,,
scr20200701017,SSAFacq,december,,,SSAF Acquittal,,,,,
scr20200701018,disabilityDay,december,12/03/2020,12/03/2020,International disability day,,,,,
scr20200701019,gradesS1,june,11/06/2020,11/06/2020,Grades Released,,,,,
scr20200701020,ReconcilaitionDay,june,1/06/2020,1/06/2020,Reconcilaition Day,,,,,
scr20200701021,winterExams,july,20/07/2020,31/07/2020,Winter exam period,,,,,
scr20200701022,,,,,,,,,,
scr20200701023,,,,,,,,,,
scr20200701024,,,,,,,,,,
scr20200701025,,,,,,,,,,
scr20200701026,,,,,,,,,,
scr20200701027,,,,,,,,,,
scr20200701028,,,,,,,,,,
council20200701001,academicJune,june,3/06/2020,3/06/2020,Academic Board (Majid/Josh),,,,,
council20200701002,academicInt,june,4/06/2020,4/06/2020,Academic Integrity Mtg (Lola/Hamish/Nick)                               Student Equity & Advisory Group (TBD),,,,,
council20200701003,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
