eventCode,Day,action,month,notes,,,,,,,,
,1,event,june,winter term starts,,,,,,,,
,1,,june,,,,,,,,,
,2,,june,,,,,,,,,
council20200701001,3,meeting,june,Academic Board (Majid/Josh),,,,,,,,
council20200701002,4,meeting,june,Academic Integrity Mtg (Lola/Hamish/Nick)                               Student Equity & Advisory Group (TBD),,,,,,,,z
,5,,june,,,,,,,,,
,6,,june,,,,,,,,,
,7,,june,,,,,,,,,
,8,holiday,june,queens birthday weekend,,,,,,,,
,9,,june,,,,,,,,,
,10,,june,,,,,,,,,
,11,outcome,june,Grades Released,,,,,,,,
,12,event,june,WT Census,,,,,,,,
,13,,june,,,,,,,,,
,14,,june,,,,,,,,,
,15,,june,,,,,,,,,
,16,,june,,,,,,,,,
,17,meeting,june,UEC (Josephine),,,,,,,,
,18,,june,,,,,,,,,
,19,,june,,,,,,,,,
,20,holiday,june,June winter solsitice,,,,,,,,
,20,event,june,World Refugee Day,,,,,,,,
,21,,june,,,,,,,,,
,22,,june,,,,,,,,,
,23,,june,,,,,,,,,
,24,,june,,,,,,,,,
,25,,june,,,,,,,,,
,26,meeting,june,Council (Emma/Anthony),,,,,,,,
,27,,june,,,,,,,,,
,28,,june,,,,,,,,,
,29,,june,,,,,,,,,
,30,,june,,,,,,,,,
,31,,june,,,,,,,,,
,1,,july,,,,,,,,,
,2,,july,,,,,,,,,
,3,,july,,,,,,,,,
,4,,july,,,,,,,,,
,5,,july,,,,,,,,,
,6,,july,,,,,,,,,
,7,,july,,,,,,,,,
,8,,july,,,,,,,,,
,9,meeting,july,URC,,,,,,,,
,10,,july,,,,,,,,,
,11,,july,,,,,,,,,
,12,,july,,,,,,,,,
,13,,july,,,,,,,,,
,14,,july,,,,,,,,,
,15,meeting,july,UEC (Josephine),,,,,,,,
,16,meeting,july,UAC (Josephine),,,,,,,,
,17,,july,,,,,,,,,
,18,,july,,,,,,,,,
,19,,july,,,,,,,,,
,20,,july,,,,,,,,,
,21,,july,,,,,,,,,
,22,,july,,,,,,,,,
,23,,july,,,,,,,,,
,24,,july,,,,,,,,,
,25,,july,,,,,,,,,
,26,,july,,,,,,,,,
,27,event,july,Orientation Sem 2,,,,,,,,
,28,event,july,Orientation Sem 2,,,,,,,,
,29,event,july,Orientation Sem 2,,,,,,,,
,30,event,july,Orientation Sem 2,,,,,,,,
,31,event,july,Orientation Sem 2,,,,,,,,
,31,event,july,Exams finish,,,,,,,,
,1,,august,,,,,,,,,
,2,,august,,,,,,,,,
,3,event,august,Wk 1,,,,,,,,
,4,,august,,,,,,,,,
,5,meeting,august,Academic Board (Majid/Josh),,,,,,,,
,6,,august,,,,,,,,,
,7,,august,,,,,,,,,
,8,,august,,,,,,,,,
,9,,august,,,,,,,,,
,10,,august,,,,,,,,,
,11,,august,,,,,,,,,
,12,,august,,,,,,,,,
,13,,august,,,,,,,,,
,14,,august,,,,,,,,,
,15,,august,,,,,,,,,
,16,,august,,,,,,,,,
,17,,august,,,,,,,,,
,18,,august,,,,,,,,,
,19,,august,,,,,,,,,
,20,,august,,,,,,,,,
,21,,august,,,,,,,,,
,22,,august,,,,,,,,,
,23,,august,,,,,,,,,
,24,,august,,,,,,,,,
,25,,august,,,,,,,,,
,26,,august,,,,,,,,,
,27,,august,,,,,,,,,
,28,meeting,august,Council (Emma/Anthony),,,,,,,,
,29,,august,,,,,,,,,
,30,,august,,,,,,,,,
,31,,august,,,,,,,,,
,1,,september,,,,,,,,,
,2,,september,,,,,,,,,
,3,meeting,september,URC,,,,,,,,
,4,census,september,Census Date,,,,,,,,
,5,,september,,,,,,,,,
,6,,september,,,,,,,,,
,7,,september,,,,,,,,,
,8,,september,,,,,,,,,
,9,meeting,september,UEC (Josephine),,,,,,,,
,10,meeting,september,UAC (Josephine) RUOK Day,,,,,,,,
,11,,september,,,,,,,,,
,12,,september,,,,,,,,,
,13,,september,,,,,,,,,
,14,,september,,,,,,,,,
,15,,september,,,,,,,,,
,16,,september,,,,,,,,,
,17,,september,,,,,,,,,
,18,,september,,,,,,,,,
,19,,september,,,,,,,,,
,20,,september,,,,,,,,,
,21,,september,,,,,,,,,
,22,,september,,,,,,,,,
,23,,september,,,,,,,,,
,24,,september,,,,,,,,,
,25,,september,,,,,,,,,
,26,,september,,,,,,,,,
,27,,september,,,,,,,,,
,28,,september,,,,,,,,,
,29,,september,,,,,,,,,
,30,meeting,september,Academic Board (Josh/Majid),,,,,,,,
,31,,september,,,,,,,,,
,1,,october,,,,,,,,,
,2,,october,,,,,,,,,
,3,,october,,,,,,,,,
,4,,october,,,,,,,,,
,5,,october,,,,,,,,,
,6,,october,,,,,,,,,
,7,,october,,,,,,,,,
,8,,october,,,,,,,,,
,9,,october,,,,,,,,,
,10,event,october,Mental Health Day,,,,,,,,
,11,,october,,,,,,,,,
,12,,october,,,,,,,,,
,13,,october,,,,,,,,,
,14,,october,,,,,,,,,
,15,,october,,,,,,,,,
,16,,october,,,,,,,,,
,17,,october,,,,,,,,,
,18,,october,,,,,,,,,
,19,,october,,,,,,,,,
,20,,october,,,,,,,,,
,21,,october,,,,,,,,,
,22,meeting,october,URC,,,,,,,,
,23,meeting,october,Council (Emma/Anthony),,,,,,,,
,24,,october,,,,,,,,,
,25,,october,,,,,,,,,
,26,,october,,,,,,,,,
,27,,october,,,,,,,,,
,28,meeting,october,UEC (Josephine),,,,,,,,
,29,meeting,october,UAC (Josephine),,,,,,,,
,30,,october,,,,,,,,,
,31,,october,,,,,,,,,
,1,,october,,,,,,,,,
,2,,october,,,,,,,,,
,3,,october,,,,,,,,,
,4,,october,,,,,,,,,
,5,,october,,,,,,,,,
,6,,october,,,,,,,,,
,7,,october,,,,,,,,,
,8,,october,,,,,,,,,
,9,,october,,,,,,,,,
,10,,october,,,,,,,,,
,11,,october,,,,,,,,,
,12,,october,,,,,,,,,
,13,,october,,,,,,,,,
,14,,october,,,,,,,,,
,15,,october,,,,,,,,,
,16,,october,,,,,,,,,
,17,,october,,,,,,,,,
,18,,october,,,,,,,,,
,19,,october,,,,,,,,,
,20,,october,,,,,,,,,
,21,,october,,,,,,,,,
,22,,october,,,,,,,,,
,23,,october,,,,,,,,,
,24,,october,,,,,,,,,
,25,,october,,,,,,,,,
,26,,october,,,,,,,,,
,27,,october,,,,,,,,,
,28,,october,,,,,,,,,
,29,,october,,,,,,,,,
,30,,october,,,,,,,,,
,31,,october,,,,,,,,,
,1,,november,,,,,,,,,
,2,,november,,,,,,,,,
,3,,november,,,,,,,,,
,4,,november,,,,,,,,,
,5,,november,,,,,,,,,
,6,,november,,,,,,,,,
,7,,november,,,,,,,,,
,8,event,november,NAIDOC WEEK,,,,,,,,
,9,,november,,,,,,,,,
,10,,november,,,,,,,,,
,11,,november,,,,,,,,,
,12,,november,,,,,,,,,
,13,,november,,,,,,,,,
,14,,november,,,,,,,,,
,15,,november,,,,,,,,,
,16,,november,,,,,,,,,
,17,,november,,,,,,,,,
,18,meeting,november,Academic Board (Josh/Majid),,,,,,,,
,19,,november,,,,,,,,,
,20,,november,,,,,,,,,
,21,,november,,,,,,,,,
,22,,november,,,,,,,,,
,23,,november,,,,,,,,,
,24,,november,,,,,,,,,
,25,,november,,,,,,,,,
,26,,november,,,,,,,,,
,27,,november,,,,,,,,,
,28,,november,,,,,,,,,
,29,,november,,,,,,,,,
